Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,Nocturnal,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area,CollectionLon,CollectionLat,Phase,capture_quality,PostabsorptiveState,
Liomys irroratus,Rodentia,Liomys irroratus,Liomys_irroratus,Mammal,48.1,36.63,31,34,53.9,9.57,0.3,KhaliqHof,PlantSeed,1,0,0,0,0.3,5.8,0.7,1.2,4.479448793,3.7065,37.9,33.65,37.8,36.69,2.350775658,NA,27.98621585,15.80396783,NA,132,-99.32,27.06,rest,trapped,postabsorptive,
Liomys salvini,Rodentia,Liomys salvini,Liomys_salvini,Mammal,43.8,37.09,31,34,46.9,7.7,0.261111111,KhaliqHof,PlantSeed,1,0,0,0,1.4,13.85,4.005,7.83,4.283129464,3.26172,36.2,34.3,36.1,35.97,2.641056913,NA,16.45710945,9.492898941,NA,124,-86.15,12.08,rest,trapped,postabsorptive,
Loxodontomys micropus,Rodentia,Loxodontomys micropus,Loxodontomys_micropus,Mammal,62.3,37.2,22,33,97.8,6.43,0.544444444,KhaliqHof,Invertebrate,1,0,0,0,-5.4,-1.95,-4.97,-4.3,2.48940331,2.00151,30.4,23.75,30.035,29.57,5.524069543,NA,-32.56906441,-53.35266441,NA,74,-70.82,-34.57,NA,trapped,NA,
Lutreolina crassicaudata,Didelphimorpha,Lutreolina crassicaudata,Lutreolina_crassicaudata,Mammal,812,35.8,27,35,406,46.14,2.265,KhaliqHof,Omnivore,1,NA,0,0,-8.6,9.4,1.1,2,7.004322475,8.1543,36,31,35,34.7,3.658007825,NA,10.24531841,-38.98753357,NA,351,NA,NA,rest,trapped,NA,
Lycaon pictus,Carnivora,Lycaon pictus,Lycaon_pictus,Mammal,30000,37.5,9.2,NA,5908.79,NA,33.01,Riek,VertFishScav,0,NA,0,0,1.8,12.2,2.7,3,5.854635642,6.81996,42.1,36.9,41.9,41,4.40287874,NA,24.45075051,-28.43441,NA,380,NA,NA,NA,captive,NA,
Macroderma gigas,Chiroptera,Macroderma gigas,Macroderma_gigas,Mammal,107,35.6,30,35,94.2,16.82,0.525,KhaliqHof,VertFishScav,1,0,1,0,6.6,10.2,7,7.5,2.391323477,2.9652,41.2,38.1,40.6,40,2.695705741,NA,-11.11586441,-24.22206441,NA,365,147.8,-23.299,rest,trapped,postabsorptive,
Macropus rufus,Diprotodontia,Macropus rufus,Macropus_rufus,Mammal,32490,36.3,25,35,5032.8,236.28,32.25833333,KhaliqHof,PlantSeed,1,0,0,0,0.5,5.1,2.8,3.2,1.500656441,1.33434,39.9,37.1,39.06,38.6,1.861884397,NA,-15.62630109,-35.9047564,NA,449,145.34,-35.112,rest,captive,postabsorptive,
Macroscelides proboscideus,Macroscelidae,Macroscelides proboscideus,Macroscelides_proboscideus,Mammal,45,36.23,35,38,52,42.28,0.288888889,KhaliqHof,Invertebrate,0,1,0,1,-4.5,1.4,-3.74,-1,2.108475288,1.63086,35.7,32.9,35.5,35.3,2.668645685,NA,-24.87320428,-33.86942601,NA,127,26.41,-32.29,rest,trapped,postabsorptive,
Macrotis lagotis,Peramelemorpha,Macrotis lagotis,Macrotis_lagotis,Mammal,1011,35.15,27,35,353.525,NA,1.975,KhaliqHof,Invertebrate,1,0,0,0,4.3,6.2,5,5.19,1.625636882,1.18608,40.5,38.1,39.35,38.6,1.792943417,NA,-16.36350441,-35.06655502,NA,230,126.34,-26.08,rest,trapped,postabsorptive,
Madoqua kirkii,Artiodactyla,Madoqua kirkii,Madoqua_kirkii,Mammal,4600,39.15,25,35,1929.222222,NA,10.77777778,KhaliqHof,PlantSeed,1,0,0,0,1.7,12.1,2.6,2.9,5.819071744,6.07866,39.2,33.95,38.795,37.79,3.544227994,NA,2.845935592,-24.20716441,NA,242,36.49,-1.17,NA,trapped,notpostabsorptive,
Marmosa lepida,Didelphimorpha,Marmosa lepida,Marmosa_lepida,Mammal,106,36.3,31,35,63.6,12,NA,KhaliqHof,Omnivore,1,NA,0,0,10.7,18.2,13,14.48,3.204865025,4.4478,33.4,32.5,33.155,33,1.709935472,NA,8.227313557,-17.18829346,NA,310,NA,NA,NA,trapped,NA,
Marmosa robinsoni,Didelphimorpha,Marmosa robinsoni,Marmosa_robinsoni,Mammal,122,34,26,36,97.6,13.01,0.544444444,KhaliqHof,Omnivore,1,1,0,0,1.9,21,9.335,12.12,4.273598396,1.4826,36.2,33.4,35.855,35.5,5.148362812,NA,12.23297596,1.858129195,NA,230,-80.78,8.53,rest,trapped,NA,
Marmota monax,Rodentia,Marmota monax,Marmota_monax,Mammal,6000,37,20,NA,661.3055556,NA,3.694444444,Riek,Omnivore,0,1,0,0,-34.9,-30.35,-33.3,-32.8,3.470671363,2.44629,34.2,24.2,33.6,33.15,6.146295798,NA,65.70373559,31.66163559,NA,1136,NA,NA,NA,captive,NA,
Martes americana,Carnivora,Martes americana,Martes_americana,Mammal,1038,37,26,35,594.9,54.08,3.822222222,KhaliqHof,VertFishScav,1,0,0,0,-38.4,-31.9,-36.3,-35.9,4.824232471,4.15128,36.4,23.5,31.2,28.6,5.167435088,NA,69.50397489,36.20559139,NA,1284,-106,38,NA,trapped,NA,
Meriones unguiculatus,Rodentia,Meriones unguiculatus,Meriones_unguiculatus,Mammal,61,38.35,30,40,77.06944444,NA,0.430555556,KhaliqHof,PlantSeed,1,0,0,0,-42.9,-30.65,-40.7,-39.61,5.828926357,7.48713,33.5,27.05,31.5,30.5,5.063693501,NA,57.31602863,33.41273898,NA,440,84.24,46.51,NA,captive,postabsorptive,
Metachirus nudicaudatus,Didelphimorpha,Metachirus nudicaudatus,Metachirus_nudicaudatus,Mammal,336,35,27.5,36,205,27.33,1.144,KhaliqHof,Omnivore,1,NA,0,0,-14.1,12.4,-6.7,-3.3,8.426796095,7.413,35.4,31.85,34.995,34.3,1.738512946,NA,16.59048711,-29.51412139,NA,622,-79.39,9.33,rest,trapped,NA,
Microtus agrestis,Rodentia,Microtus agrestis,Microtus_agrestis,Mammal,26.3,37.6,25,NA,63.64444444,NA,0.355555556,Riek,PlantSeed,1,0,0,0,-47.4,-26.6,-42.615,-40.6,14.02247924,16.3086,32.5,24.9,28.6,27.8,2.926589375,NA,71.12249756,39.37810925,NA,1698,-5,57,NA,NA,NA,
Microtus arvalis,Rodentia,Microtus arvalis,Microtus_arvalis,Mammal,24,37.15,20,30,60.16388889,NA,0.336111111,KhaliqHof,PlantSeed,1,0,0,0,-38.5,-17.3,-28.135,-24.3,9.916103568,9.85929,35,26.8,32.1,30.6,4.197678892,NA,61.99883666,38.44684273,NA,1254,11.09,52.34,NA,trapped,NA,
Microtus guentheri,Rodentia,Microtus guentheri,Microtus_guentheri,Mammal,51.3,38.45,30,34,80.05277778,NA,0.447222222,KhaliqHof,PlantSeed,1,0,0,0,-10.2,-1.8,-8.5,-6.7,3.842881898,3.7065,40.4,32.05,39.2,38.5,3.52069923,NA,42.82847348,31.23825033,NA,248,34.48,32.233,rest,captive,notpostabsorptive,
Microtus longicaudus,Rodentia,Microtus longicaudus,Microtus_longicaudus,Mammal,26.9,37.7,26.5,33.5,76.4,4.32,0.347222222,KhaliqHof,PlantSeed,1,0,0,0,-35.2,-28.9,-34.4,-34,7.284839793,7.85778,40.4,20.45,36.2,35.2,8.550056526,NA,68.13523559,32.20733559,NA,540,-117.8,46.08,rest,trapped,NA,
Microtus montanus,Rodentia,Microtus montanus,Microtus_montanus,Mammal,51.2,37.5,26,31,81.6,7.1,0.5,KhaliqHof,PlantSeed,1,0,0,0,-19,-12.8,-15.7,-15,2.956301796,2.37216,41.1,31.1,37.2,36.4,4.154713002,NA,52.88713559,33.02903559,NA,231,-117.1,46.43,rest,trapped,postabsorptive,
Microtus ochrogaster,Rodentia,Microtus ochrogaster,Microtus_ochrogaster,Mammal,47.4,37.8,25,34,40.3,3.15,0.461111111,KhaliqHof,PlantSeed,1,0,0,0,-27.6,-24.7,-26.98,-26.8,6.604749426,2.9652,35.7,31.9,34.8,34.4,4.533243676,NA,55.99243559,29.07313559,NA,425,-105.05,40.35,rest,trapped,NA,
Microtus pennsylvanicus,Rodentia,Microtus pennsylvanicus,Microtus_pennsylvanicus,Mammal,38.9,38.65,25,29,75.08055556,NA,0.419444444,KhaliqHof,PlantSeed,1,0,0,0,-39.5,-31.9,-38.4,-37.42,6.042371746,4.89258,34.7,22.4,32.4,31.8,6.598236257,NA,70.25343559,28.94103559,NA,1299,-84.48,42.72,NA,trapped,postabsorptive,
Microtus pinetorum,Rodentia,Microtus pinetorum,Microtus_pinetorum,Mammal,23.8,38.45,23,35,55.68888889,NA,0.311111111,KhaliqHof,PlantSeed,1,0,0,0,-18.3,-12.9,-17.555,-17.1,3.689260104,3.48411,36,32.9,35.155,34.21,2.354785653,NA,45.78663559,29.06913559,NA,350,-76.47,42.442,rest,captive,postabsorptive,
Microtus richardsoni,Rodentia,Microtus richardsoni,Microtus_richardsoni,Mammal,51.3,38.85,22.5,33.5,172.5361111,NA,0.963888889,KhaliqHof,PlantSeed,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Molossus molossus,Chiroptera,Molossus molossus,Molossus_molossus,Mammal,15.6,36,32,36,22.5,5.63,0.097222222,KhaliqHof,Invertebrate,1,1,0,0,-12.8,11.9,-7.565,-4.29,8.634171744,9.34038,38.9,32.5,35.3,34.9,1.773305908,NA,29.34120818,-34.98086441,NA,848,-49.222,-20.492,NA,trapped,notpostabsorptive,
Monodelphis brevicaudata,Didelphimorpha,Monodelphis brevicaudata,Monodelphis_brevicaudata,Mammal,111,33.8,28.76,36,75.5,13.02,0.422222222,KhaliqHof,Omnivore,1,1,0,0,19.5,21.5,19.8,20.3,0.745918829,0.59304,36.1,32.6,35.3,34.3,1.107090754,NA,7.809699788,-3.550032645,NA,221,-70.57,10.42,rest,trapped,NA,
Mus musculus,Rodentia,Mus musculus,Mus_musculus,Mammal,46,37.05,27,33,48.509,NA,0.271,KhaliqHof,PlantSeed,1,NA,0,0,-50.2,-26.9,-40.4,-37.3,17.34669975,10.97124,47.3,29.7,42.6,36.7,7.728231522,NA,73.53033447,-54.77827835,NA,3882,-76.5,42.445,rest,captive,postabsorptive,
Myodes gapperi,Rodentia,Myodes gapperi,Myodes_gapperi,Mammal,20.8,37.6,26,34,48.5,4.37,0.247222222,KhaliqHof,PlantSeed,1,0,0,0,-36.4,-29.7,-36,-35.5,4.867740185,3.85476,36.3,28.4,32.6,31.5,5.320996097,NA,62.43333559,32.84473559,NA,925,-76.32,39.69,rest,trapped,postabsorptive,
Myoprocta acouchy,Rodentia,Myoprocta acouchy,Myoprocta_acouchy,Mammal,914,35.4,25,30,502.7,48.34,2.802777778,KhaliqHof,PlantSeed,0,0,0,0,13.6,22,19.88,20.9,1.591962787,0.7413,33.7,32.9,33.5,33.4,0.356024815,NA,7.60003735,-3.20126772,NA,143,NA,NA,rest,captive,postabsorptive,
Myopus schisticolor,Rodentia,Myopus schisticolor,Myopus_schisticolor,Mammal,26.4,39,20.9,24,93.5,5.17,0.522,KhaliqHof,PlantSeed,1,NA,0,0,-50.5,-33.4,-45.8,-42.4,10.36215396,11.71254,27.1,22.2,25.3,24.9,3.249186785,NA,71.75223006,43.72786189,NA,1921,25.26,65.19,rest,trapped,NA,
Myotis lucifugus,Chiroptera,Myotis lucifugus,Myotis_lucifugus,Mammal,9.5,32.15,32.5,34.5,9.129,NA,0.051,KhaliqHof,Invertebrate,1,NA,0,0,-36.1,-30.9,-33.4,-33,3.811721792,1.92738,42.6,23.3,35.1,34,7.772796531,NA,67.26963559,30.12163559,NA,1280,NA,NA,NA,NA,NA,
Mystromys albicaudatus,Rodentia,Mystromys albicaudatus,Mystromys_albicaudatus,Mammal,93.78,37.5,20,30,126.8,7.25,0.705555556,KhaliqHof,Omnivore,1,0,0,1,-1,2.7,0.085,0.77,1.84080188,1.33434,33.8,30.1,33.215,32.2,2.473564172,NA,-25.02826441,-34.38726441,NA,158,-33,18,rest,trapped,postabsorptive,
Nandinia binotata,Carnivora,Nandinia binotata,Nandinia_binotata,Mammal,4270,37.4,27,34,862.5,82.93,4.811111111,KhaliqHof,FruiNect,1,0,0,0,8.9,16.5,11.6,12.37,2.882808266,3.11346,40.2,34.9,39.2,38.2,2.543963961,NA,13.95503559,-20.72996441,NA,678,10,11,rest,NA,postabsorptive,
Napaeozapus insignis,Rodentia,Napaeozapus insignis,Napaeozapus_insignis,Mammal,20.9,37,30,34,92,15.33,0.216666667,KhaliqHof,Omnivore,1,1,0,0,-27.6,-25.5,-27.4,-27.3,3.057549563,2.37216,31.8,26.9,29.9,29.4,4.357830664,NA,54.23193559,34.57973559,NA,495,-73.51,44.13,rest,trapped,postabsorptive,
Nasua narica,Carnivora,Nasua narica,Nasua_narica,Mammal,5554,38.75,25,35,1205.763889,NA,6.736111111,KhaliqHof,FruiNect,0,0,0,0,-11.8,16.8,-7.645,-6.2,11.1122352,7.85778,38.9,34.5,37.6,37.19,2.223676398,NA,35.33622598,3.992843719,NA,472,-82.53,7.43,rest,NA,postabsorptive,
Nasua nasua,Carnivora,Nasua nasua,Nasua_nasua,Mammal,4000,36.55,25,33,998.4222222,NA,5.577777778,KhaliqHof,FruiNect,0,0,0,0,2.5,11.3,6.37,6.7,3.531044047,4.59606,35.9,32.5,35.3,34.7,2.448864197,NA,9.388376442,-32.48946766,NA,455,NA,NA,rest,NA,postabsorptive,
Natalus tumidirostris,Chiroptera,Natalus tumidirostris,Natalus_tumidirostris,Mammal,5.4,34,28,35,8.3,1.38,NA,KhaliqHof,Invertebrate,1,NA,0,0,4.6,20,11.865,14.83,3.242321907,1.92738,35.4,32,34.535,34.07,1.769044122,NA,12.46333559,1.185535593,NA,314,-70.142,11.471,rest,trapped,postabsorptive,
Neomys anomalus,Soricomorpha,Neomys anomalus,Neomys_anomalus,Mammal,13.4,35.15,25,30,66.767,NA,0.373,KhaliqHof,Omnivore,1,NA,0,0,-13.9,-4.55,-13.7,-12.5,6.063822035,7.04235,41.1,28.5,34.4,33.1,2.979931738,NA,54.83579139,29.45347537,NA,654,23.84,52.77,NA,trapped,NA,
Neomys fodiens,Soricomorpha,Neomys fodiens,Neomys_fodiens,Mammal,14.2,37.45,25,30,39.28055556,NA,0.219444444,KhaliqHof,Omnivore,1,0,0,0,-39.3,-24.3,-33.95,-31.9,11.06878885,9.6369,33.9,26.5,30.3,29.8,3.745318691,NA,71.13301849,39.06939316,NA,1751,23.12,52.9,NA,trapped,NA,
Neotoma fuscipes,Rodentia,Neotoma fuscipes,Neotoma_fuscipes,Mammal,187,36.6,23,NA,147.1777778,NA,0.822222222,Riek,PlantSeed,1,0,0,0,-8.5,-2.1,-8.3,-8.1,3.97582311,6.07866,37.6,27,36.5,36.3,4.446619641,NA,45.83543559,34.83583559,NA,61,NA,NA,NA,NA,NA,
Neotoma lepida,Rodentia,Neotoma lepida,Neotoma_lepida,Mammal,106,36.95,31,35,99.44444444,NA,0.555555556,KhaliqHof,PlantSeed,1,0,0,0,-16.4,-9.1,-15.94,-14.88,4.523113335,3.55824,35.2,31.5,34.04,33.48,2.56791211,NA,44.14053559,22.86713559,NA,173,-115.2,35.32,NA,trapped,NA,
Neurotrichus gibbsii,Soricomorpha,Neurotrichus gibbsii,Neurotrichus_gibbsii,Mammal,11.8,38.7,25,32,46.5,3.39,NA,KhaliqHof,Invertebrate,1,NA,0,0,-12.5,-8.7,-12.31,-11.63,4.797688219,3.92889,29.3,22.4,25.81,24.74,2.537760543,NA,49.95233559,36.55583559,NA,50,-123.1,49.3,active,trapped,postabsorptive,
Noctilio albiventris,Chiroptera,Noctilio albiventris,Noctilio_albiventris,Mammal,27,34.2,32,38,31.6,14.36,0.133333333,KhaliqHof,Invertebrate,1,0,0,0,-14,14.45,-3.375,5.8,7.626856656,7.48713,35.4,32.2,34.4,33.7,1.742660876,NA,16.72263559,-30.18046441,NA,702,-56.471,-20.055,rest,trapped,notpostabsorptive,
Noctilio leporinus,Chiroptera,Noctilio leporinus,Noctilio_leporinus,Mammal,61,33.3,28,38,70.8,13.36,0.261111111,KhaliqHof,Invertebrate,1,0,0,0,-9.6,15.7,1.76,6.9,6.318698807,5.78214,40.6,32.4,35.1,34.2,2.316149028,NA,26.18483559,-31.56036441,NA,893,-56.475,-20.051,NA,trapped,notpostabsorptive,
Notiosorex crawfordi,Soricomorpha,Notiosorex crawfordi,Notiosorex_crawfordi,Mammal,4,38,32,36,13.1,2.18,0.072222222,KhaliqHof,Invertebrate,1,1,0,0,-20.7,-5.6,-12.095,-9.59,4.24422957,3.11346,42.3,33.75,38.79,37.19,3.902985349,NA,38.44313559,20.05423559,NA,322,-110.49,32.237,rest,trapped,postabsorptive,
Notomys alexis,Rodentia,Notomys alexis,Notomys_alexis,Mammal,32.3,37.7,32,34,45.2,7.93,0.252777778,KhaliqHof,Omnivore,1,0,0,0,4.2,5,4.3,4.4,1.167438492,0.7413,41.3,38.3,40.8,40.5,1.213947911,NA,-18.39269922,-31.99230399,NA,340,133.531,-23.45,rest,trapped,postabsorptive,
Ochrotomys nuttalli,Rodentia,Ochrotomys nuttalli,Ochrotomys_nuttalli,Mammal,19.5,38.08,29.5,36,27.1,3.16,0.151,KhaliqHof,PlantSeed,1,NA,0,0,-9.8,-6.3,-8.28,-8,2.253603857,1.77912,35.5,32.6,34.68,33.9,1.011687803,NA,39.40943559,26.69953559,NA,245,-83.16,29.15,rest,trapped,NA,
Octodon degus,Rodentia,Octodon degus,Octodon_degus,Mammal,206,37.6,27,35,191.6,18.08,0.958,KhaliqHof,PlantSeed,0,NA,0,0,-3.5,2.1,-3.09,-0.99,2.495901402,3.26172,29.7,28,29.58,29.2,2.16341581,NA,-28.68437576,-34.98395511,NA,22,NA,NA,rest,captive,postabsorptive,
Octodontomys gliroides,Rodentia,Octodontomys gliroides,Octodontomys_gliroides,Mammal,152,37.2,25,35,130.7,10.71,0.730555556,KhaliqHof,FruiNect,0,0,0,0,-13.7,-5.3,-10.9,-9.8,4.248614689,5.04084,29.3,25.3,28.9,28.2,4.776034206,NA,-15.69570446,-28.64121302,NA,61,NA,NA,rest,captive,postabsorptive,
Octomys mimax,Rodentia,Octomys mimax,Octomys_mimax,Mammal,118.6,36.7,22.2,NA,114.8583333,NA,0.641666667,Riek,PlantSeed,1,0,0,0,-5.7,-0.7,-5.455,-4.95,2.655239886,3.40998,34.2,32.95,34.1,34.1,4.891772356,NA,-28.86118492,-32.84388722,NA,30,-67.55,-30.05,NA,trapped,NA,
Odocoileus virginianus,Cetartiodactyla,Odocoileus virginianus,Odocoileus_virginianus,Mammal,65000,38,-19.9,NA,16879.7,NA,94.3,Riek,PlantSeed,1,0,0,0,-31.4,-26.8,-30.5,-30.2,17.25349118,2.37216,41.4,32.7,37.3,36.29,5.327054391,NA,61.76984961,-17.98169903,NA,972,NA,NA,NA,captive,NA,
Ondatra zibethicus,Rodentia,Ondatra zibethicus,Ondatra_zibethicus,Mammal,1004.6,37.55,15,30,641.9138889,NA,3.586111111,KhaliqHof,PlantSeed,1,0,0,0,-37.4,-31.9,-35.2,-35,5.496353103,4.15128,41.9,22.5,36.38,35.66,8.782410222,NA,68.46249114,28.92028617,NA,1385,-74.006,40.71,rest,captive,NA,
Onychomys torridus,Rodentia,Onychomys torridus,Onychomys_torridus,Mammal,19.1,36.15,30,35,29.33611111,NA,0.163888889,KhaliqHof,Invertebrate,1,0,0,0,-13.1,-6.3,-11.25,-10.8,4.771886584,4.52193,38.9,36.5,37.9,37.8,3.636523383,NA,42.14624651,24.97318077,NA,156,-106.45,32.19,rest,trapped,postabsorptive,
Otomys irroratus,Rodentia,Otomys irroratus,Otomys_irroratus,Mammal,111.6,36.5,24,28,84.9,6.79,0.474,KhaliqHof,PlantSeed,1,NA,0,1,-4,3.7,-0.97,0.72,3.309011955,2.9652,33.9,29.3,31.77,31.24,1.974565137,NA,-17.63736441,-34.83976441,NA,187,28.133,-25.433,NA,trapped,notpostabsorptive,
Paradoxurus hermaphroditus,Carnivora,Paradoxurus hermaphroditus,Paradoxurus_hermaphroditus,Mammal,3160,36.5,27,36,797.3,83.93,4.230555556,KhaliqHof,Omnivore,1,0,0,1,-24.9,5.7,-20.3,-18.7,14.76957638,21.20118,40.6,32,35.3,34.3,1.566085411,NA,32.98190775,-10.37476441,NA,695,NA,NA,rest,captive,postabsorptive,
Pecari tajacu,Artiodactyla,Pecari tajacu,Pecari_tajacu,Mammal,20000,38,28,35,5800,580,32.45,KhaliqHof,PlantSeed,1,0,0,0,-0.1,15.9,2.9,5.9,5.604498432,5.48562,41.6,32.6,36.1,35.1,2.430267625,NA,35.0746387,-34.81695562,NA,955,-111.05,32.142,NA,trapped,postabsorptive,
Pedetes capensis,Rodentia,Pedetes capensis,Pedetes_capensis,Mammal,2300,36,23,33,736,56.62,4.425,KhaliqHof,PlantSeed,1,0,0,1,-2.4,6.1,-1.7,0.1,4.352298434,5.1891,33.7,30.6,32.9,32.36,1.763901088,NA,-7.823564408,-34.05256441,NA,275,36.493,-1.174,rest,trapped,postabsorptive,
Perodicticus potto,Primates,Perodicticus potto,Perodicticus_potto,Mammal,1090,36,25,29,347.6,31.6,2.861111111,KhaliqHof,FruiNect,1,0,0,0,3.5,17.7,11.84,14.7,2.573755404,1.77912,36.7,33.4,36.06,35.7,2.378540285,NA,9.146502683,-11.20214748,NA,589,11.362,-1.48,rest,trapped,NA,
Peromyscus californicus,Rodentia,Peromyscus californicus,Peromyscus_californicus,Mammal,49.6,36.55,27,34.5,58.175,NA,0.325,KhaliqHof,Invertebrate,1,1,0,0,-9.8,0.4,-7.7,-7.28,4.092266605,3.85476,41.5,33,39.045,37.79,6.318667219,NA,38.07906483,29.93078439,NA,92,-122.272,37.8715,rest,trapped,postabsorptive,
Peromyscus crinitus,Rodentia,Peromyscus crinitus,Peromyscus_crinitus,Mammal,20.9,35.85,29,35,30.82777778,NA,0.172222222,KhaliqHof,Invertebrate,1,1,0,0,-16,-11.4,-15.635,-15.27,3.369131654,3.85476,41.1,31.75,38.71,37.5,4.073490073,NA,45.3518888,28.41540358,NA,174,-122.74,40.22,rest,trapped,postabsorptive,
Peromyscus eremicus,Rodentia,Peromyscus eremicus,Peromyscus_eremicus,Mammal,21.5,36.6,30,36.5,31.8,4.18,0.180555556,KhaliqHof,Invertebrate,1,1,0,0,-9.5,-4.2,-7.92,-7.42,3.62299835,3.7065,42.2,35.7,41.9,40.38,3.939728461,NA,37.89861229,21.50383125,NA,219,-115.34,36,rest,trapped,postabsorptive,
Peromyscus leucopus,Rodentia,Peromyscus leucopus,Peromyscus_leucopus,Mammal,21.2,36,27.5,34.5,35.2,4.14,0.197222222,KhaliqHof,Invertebrate,1,1,0,0,-23,-17.8,-22.4,-22.1,4.448065831,5.48562,38.6,31.7,35.67,34.9,4.2406352,NA,51.13023546,15.86226068,NA,587,-76.322,42.277,rest,trapped,postabsorptive,
Peromyscus maniculatus,Rodentia,Peromyscus maniculatus,Peromyscus_maniculatus,Mammal,17,36.75,29,37,38.78333333,NA,0.216666667,KhaliqHof,Invertebrate,1,1,0,0,-34.4,-29.8,-33.1,-32.62,3.568696111,2.2239,40.6,28.2,34.96,34.1,7.051793879,NA,65.64702228,16.20655559,NA,1009,-74.235,43.581,rest,trapped,postabsorptive,
Peromyscus truei,Rodentia,Peromyscus truei,Peromyscus_truei,Mammal,33,36.7,27,33,50.8,5.24,0.347222222,KhaliqHof,Invertebrate,1,NA,0,0,-18.4,-10.1,-16.93,-15.46,4.206573516,2.66868,41.7,31.7,35.2,34.7,4.352589724,NA,46.67473559,29.81983559,NA,315,-116.34,38.35,rest,trapped,postabsorptive,
Peropteryx macrotis,Chiroptera,Peropteryx macrotis,Peropteryx_macrotis,Mammal,5.1,35,30.5,37,11.8,2.62,0.066666667,KhaliqHof,Invertebrate,1,1,0,0,-3.9,15.5,3.5,6.1,5.522992047,4.89258,35.5,32.4,34.9,34.4,1.585569456,NA,21.60983559,-26.70156441,NA,746,-69.51,11.25,rest,trapped,postabsorptive,
Petauroides volans,Diprotodontia,Petauroides volans,Petauroides_volans,Mammal,1141,35.55,18,25,569.3194444,NA,3.180555556,KhaliqHof,PlantSeed,1,0,0,1,1.8,5.25,2.1,2.4,2.010098977,2.74281,34.9,31.1,34.21,33.41,1.49773966,NA,-16.01959364,-38.58176955,NA,120,151.68,-31.53,rest,trapped,notpostabsorptive,
Phascolarctos cinereus,Diprotodontia,Phascolarctos cinereus,Phascolarctos_cinereus,Mammal,4765,35.8,20,26,1048.3,66.35,5.744,KhaliqHof,PlantSeed,1,NA,0,1,1.4,6,4.1,4.5,1.469522532,1.18608,37.9,30.6,37.5,35.84,3.541710607,NA,-16.55521398,-39.1389389,NA,199,146.55,-31.15,NA,trapped,postabsorptive,
Philander opossum,Didelphimorpha,Philander opossum,Philander_opossum,Mammal,751,35.8,29.5,36,338,53.65,1.886111111,KhaliqHof,Omnivore,1,0,0,0,-10.7,16.1,-0.72,5.9,6.27315891,4.00302,35.8,32.2,34.6,34.2,2.807956504,NA,19.72237499,-20.14587074,NA,569,-79.5,9.01,rest,trapped,NA,
Philantomba monticola,Artiodactyla,Philantomba monticola,Philantomba_monticola,Mammal,4400,39.1,26,32,1806,128.09,10.55277778,KhaliqHof,FruiNect,1,0,0,1,4.4,10.6,5.045,5.4,4.894210399,6.52344,38.8,34.4,38.4,37.8,3.02093109,NA,9.143035593,-34.35846441,NA,390,28.131,-25.431,NA,captive,notpostabsorptive,
Phodopus sungorus,Rodentia,Phodopus sungorus,Phodopus_sungorus,Mammal,24,36.25,20,35,77.06944444,NA,0.430555556,KhaliqHof,PlantSeed,1,1,0,0,-33.1,-22.9,-26.235,-23.8,2.030874224,1.18608,31.8,27,31.7,31.07,3.584968755,NA,56.422814,47.160268,NA,374,8.46,50.48,NA,captive,NA,
Phyllostomus discolor,Chiroptera,Phyllostomus discolor,Phyllostomus_discolor,Mammal,33.5,34,25,37,47.9,5.32,0.191666667,KhaliqHof,Omnivore,1,0,0,0,-3.7,15.1,5.11,9.4,4.625862566,4.59606,35.6,32.3,34.5,34,1.796793044,NA,19.64123559,-24.72086441,NA,743,-49.223,-20.491,NA,trapped,notpostabsorptive,
Phyllostomus elongatus,Chiroptera,Phyllostomus elongatus,Phyllostomus_elongatus,Mammal,35.6,36,25,NA,38.8,3.53,0.216666667,KhaliqHof,Invertebrate,1,0,0,0,-14,14.4,-8.3,8.5,7.064019103,2.9652,35.5,32,34.5,33.5,2.871707951,NA,10.76363559,-23.84306441,NA,516,-59.54,-3.08,rest,trapped,notpostabsorptive,
Phyllostomus hastatus,Chiroptera,Phyllostomus hastatus,Phyllostomus_hastatus,Mammal,84.2,35,25,35,100.2,10.02,0.394444444,KhaliqHof,VertFishScav,1,0,0,0,-13,13.1,-6.8,-4.87,8.664154097,7.413,35.4,32.2,34.5,33.87,1.492253837,NA,16.48623559,-24.23226441,NA,654,-59.54,-3.08,NA,trapped,notpostabsorptive,
Phyllotis darwini,Rodentia,Phyllotis darwini,Phyllotis_darwini,Mammal,59,37,27.5,34,71.4,7.52,0.397222222,KhaliqHof,PlantSeed,1,0,0,0,-7.9,2.1,-5.06,-0.26,2.913276168,2.07564,29.2,27.4,29.14,28.66,3.838925434,NA,-23.72776441,-37.75486441,NA,33,-72.223,-35,NA,trapped,NA,
